c(t),t
0.1537791322132971,1.314
0.153748379462232,1.315
0.1537176328611022,1.316
0.1536868924086777,1.317
0.1536561581037289,1.318
0.1536254299450264,1.319
0.1535947079313412,1.32
0.1535639920614443,1.321
0.1535332823341071,1.322
0.1535025787481012,1.323
0.1534718813021985,1.324
0.1534411899951711,1.325
0.1534105048257913,1.326
0.1533798257928317,1.327
0.1533491528950652,1.328
0.1533184861312647,1.329
0.1532878255002038,1.33
0.1532571710006559,1.331
0.1532265226313948,1.332
0.1531958803911947,1.333
0.1531652442788298,1.334
0.1531346142930748,1.335
0.1531039904327042,1.336
0.1530733726964934,1.337
0.1530427610832175,1.338
0.153012155591652,1.339
0.1529815562205728,1.34
0.1529509629687558,1.341
0.1529203758349774,1.342
0.152889794818014,1.343
0.1528592199166425,1.344
0.1528286511296398,1.345
0.1527980884557831,1.346
0.15276753189385,1.347
0.1527369814426182,1.348
0.1527064371008656,1.349
0.1526758988673706,1.35
0.1526453667409116,1.351
0.1526148407202672,1.352
0.1525843208042165,1.353
0.1525538069915386,1.354
0.152523299281013,1.355
0.1524927976714195,1.356
0.1524623021615379,1.357
0.1524318127501483,1.358
0.1524013294360313,1.359
0.1523708522179675,1.36
0.1523403810947378,1.361
0.1523099160651233,1.362
0.1522794571279056,1.363
0.1522490042818661,1.364
0.1522185575257868,1.365
0.1521881168584499,1.366
0.1521576822786376,1.367
0.1521272537851327,1.368
0.1520968313767179,1.369
0.1520664150521764,1.37
0.1520360048102915,1.371
0.1520056006498469,1.372
0.1519752025696262,1.373
0.1519448105684137,1.374
0.1519144246449937,1.375
0.1518840447981506,1.3760000000000001
0.1518536710266694,1.377
0.151823303329335,1.3780000000000001
0.1517929417049328,1.379
0.1517625861522482,1.3800000000000001
0.1517322366700672,1.381
0.1517018932571756,1.3820000000000001
0.1516715559123598,1.383
0.1516412246344062,1.3840000000000001
0.1516108994221016,1.385
0.1515805802742331,1.3860000000000001
0.1515502671895877,1.387
0.1515199601669531,1.3880000000000001
0.1514896592051169,1.389
0.1514593643028671,1.3900000000000001
0.1514290754589919,1.391
0.1513987926722797,1.3920000000000001
0.1513685159415192,1.393
0.1513382452654994,1.3940000000000001
0.1513079806430095,1.395
0.1512777220728387,1.3960000000000001
0.1512474695537769,1.397
0.1512172230846139,1.3980000000000001
0.1511869826641398,1.399
0.1511567482911451,1.4000000000000001
0.1511265199644203,1.401
0.1510962976827563,1.4020000000000001
0.1510660814449442,1.403
0.1510358712497755,1.4040000000000001
0.1510056670960416,1.405
0.1509754689825344,1.4060000000000001
0.150945276908046,1.407
0.1509150908713686,1.408
0.150884910871295,1.409
0.1508547369066178,1.41
0.15082456897613,1.411
0.1507944070786251,1.412
0.1507642512128965,1.413
0.1507341013777379,1.414
0.1507039575719434,1.415
0.1506738197943072,1.416
0.1506436880436239,1.417
0.1506135623186881,1.418
0.1505834426182948,1.419
0.1505533289412392,1.42
0.1505232212863168,1.421
0.1504931196523233,1.422
0.1504630240380546,1.423
0.1504329344423068,1.424
0.1504028508638765,1.425
0.1503727733015602,1.426
0.1503427017541549,1.427
0.1503126362204576,1.428
0.1502825766992659,1.429
0.1502525231893772,1.43
0.1502224756895894,1.431
0.1501924341987008,1.432
0.1501623987155095,1.433
0.1501323692388141,1.434
0.1501023457674136,1.435
0.1500723283001069,1.436
0.1500423168356933,1.437
0.1500123113729725,1.438
0.1499823119107441,1.439
0.1499523184478082,1.44
0.1499223309829651,1.441
0.1498923495150153,1.442
0.1498623740427594,1.443
0.1498324045649985,1.444
0.1498024410805338,1.445
0.1497724835881668,1.446
0.1497425320866992,1.447
0.1497125865749329,1.448
0.14968264705167,1.449
0.149652713515713,1.45
0.1496227859658646,1.451
0.1495928644009277,1.452
0.1495629488197053,1.453
0.149533039221001,1.454
0.1495031356036182,1.455
0.1494732379663609,1.456
0.149443346308033,1.457
0.1494134606274391,1.458
0.1493835809233836,1.459
0.1493537071946714,1.46
0.1493238394401075,1.461
0.1492939776584972,1.462
0.149264121848646,1.463
0.1492342720093596,1.464
0.1492044281394443,1.465
0.149174590237706,1.466
0.1491447583029514,1.467
0.1491149323339871,1.468
0.1490851123296201,1.469
0.1490552982886577,1.47
0.1490254902099072,1.471
0.1489956880921763,1.472
0.148965891934273,1.473
0.1489361017350054,1.474
0.1489063174931818,1.475
0.148876539207611,1.476
0.1488467668771018,1.477
0.1488170005004633,1.478
0.1487872400765048,1.479
0.1487574856040359,1.48
0.1487277370818664,1.481
0.1486979945088065,1.482
0.1486682578836664,1.483
0.1486385272052566,1.484
0.1486088024723879,1.485
0.1485790836838714,1.486
0.1485493708385182,1.487
0.1485196639351398,1.488
0.1484899629725481,1.489
0.1484602679495548,1.49
0.1484305788649723,1.491
0.148400895717613,1.492
0.1483712185062896,1.493
0.1483415472298149,1.494
0.1483118818870021,1.495
0.1482822224766646,1.496
0.148252568997616,1.497
0.1482229214486702,1.498
0.1481932798286412,1.499
0.1481636441363436,1.5
0.1481340143705916,1.5010000000000001
0.1481043905302003,1.502
0.1480747726139846,1.5030000000000001
0.1480451606207598,1.504
0.1480155545493415,1.5050000000000001
0.1479859543985454,1.506
0.1479563601671874,1.5070000000000001
0.1479267718540839,1.508
0.1478971894580514,1.5090000000000001
0.1478676129779063,1.51
0.1478380424124659,1.5110000000000001
0.1478084777605471,1.512
0.1477789190209675,1.5130000000000001
0.1477493661925447,1.514
0.1477198192740965,1.5150000000000001
0.1476902782644411,1.516
0.1476607431623969,1.5170000000000001
0.1476312139667824,1.518
0.1476016906764164,1.5190000000000001
0.1475721732901182,1.52
0.1475426618067069,1.5210000000000001
0.1475131562250021,1.522
0.1474836565438235,1.5230000000000001
